"","year","conflict_id","conflict_active","start_year","conflictep_id","termination_year","conflictepisode","outcome","location","incompatibility","peace","peace_ends","peace_duration","country","Tonnage_mt_Combined","Tonnage_mt_emergency","Tonnage_mt_development","Value_Combined","Value_emergency","Value_development","commodities_Combined","commodities_emergency","commodities_development","partners_Combined","partners_emergency","partners_development","Value","Tonnage_mt","binary_emergency","n","frac_emergency","sum_tonnage_emergency","instrument_emergency","Value_t1","Tonnage_mt_t1","t1_commodities","sum_tonnage_t1","wheat_binary","n_partners_emergency","n_partners_development","inflation_adjustment","decisive","lootable","treaty","identity","conflict_duration","episode_deaths","factions","current_polity","democracy","initial_polity","initial_democracy","mortality","initial_mortality","peace_agreement","govt_military","rugged_terrain","p5_colony","p5_contiguous"
"1",1996,205,1,1996,20506,1996,6,5,"Iran",1,0,0,0,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,824.79,0,0,0,NA,469.945,0,0,0,1.60080061626733,FALSE,1,FALSE,TRUE,1,27,1,-6,FALSE,-6,FALSE,35.3,35.3,0,868,173.490234375,FALSE,FALSE
"2",1997,205,0,1996,20506,1996,6,5,"Iran",1,1,1,1,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,781.36,0,0,0,NA,732.08,0,0,0,1.56423558116597,FALSE,1,FALSE,TRUE,1,27,1,3,FALSE,-6,FALSE,34,35.3,0,868,173.490234375,FALSE,FALSE
"3",1998,205,0,1996,20506,1996,6,5,"Iran",1,1,0,2,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,901.75,0,0,0,NA,1015.77,0,0,0,1.54040539849701,FALSE,1,FALSE,TRUE,1,27,1,3,FALSE,-6,FALSE,32.6,35.3,0,868,173.490234375,FALSE,FALSE
"4",1999,205,0,1996,20506,1996,6,5,"Iran",1,1,1,3,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,669.386,0,0,0,NA,1908.5,0,0,0,1.50734717358679,FALSE,1,FALSE,TRUE,1,27,1,3,FALSE,-6,FALSE,31.2,35.3,0,868,173.490234375,FALSE,FALSE
"5",2000,205,0,1996,20506,1996,6,5,"Iran",1,1,1,4,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,901.63,0,0,0,NA,354.595,0,0,0,1.45825243188308,FALSE,1,FALSE,TRUE,1,27,1,3,FALSE,-6,FALSE,29.7,35.3,0,868,173.490234375,FALSE,FALSE
"6",2001,205,0,1996,20506,1996,6,5,"Iran",1,1,1,5,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,646.64,0,0,0,NA,646,0,0,0,1.41830407154625,FALSE,1,FALSE,TRUE,1,27,1,3,FALSE,-6,FALSE,28.2,35.3,0,868,173.490234375,FALSE,FALSE
"7",2002,205,0,1996,20506,1996,6,5,"Iran",1,1,1,6,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,895.42,0,0,0,NA,445.67,0,0,0,1.39602807635285,FALSE,1,FALSE,TRUE,1,27,1,3,FALSE,-6,FALSE,26.7,35.3,0,868,173.490234375,FALSE,FALSE
"8",2003,205,0,1996,20506,1996,6,5,"Iran",1,1,1,7,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1910.9,0,0,0,NA,573.47,0,0,0,1.36466802536232,FALSE,1,FALSE,TRUE,1,27,1,3,FALSE,-6,FALSE,25.1,35.3,0,868,173.490234375,FALSE,FALSE
"9",2004,205,0,1996,20506,1996,6,5,"Iran",1,1,1,8,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1666.82,0,0,0,NA,229.3,0,0,0,1.32921037540253,FALSE,1,FALSE,TRUE,1,27,1,-7,FALSE,-6,FALSE,23.6,35.3,0,868,173.490234375,FALSE,FALSE
"10",2005,205,0,1996,20506,1996,6,5,"Iran",1,1,1,9,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1811.27,0,0,0,NA,65.186,0,0,0,1.28592821782178,FALSE,1,FALSE,TRUE,1,27,1,-6,FALSE,-6,FALSE,22.2,35.3,0,868,173.490234375,FALSE,FALSE
"11",2006,205,0,1996,20506,1996,6,5,"Iran",1,1,1,10,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1426.2,0,0,0,NA,212.35,0,0,0,1.24578781990325,FALSE,1,FALSE,TRUE,1,27,1,-6,FALSE,-6,FALSE,20.9,35.3,0,868,173.490234375,FALSE,FALSE
"12",2007,205,0,1996,20506,1996,6,5,"Iran",1,1,1,11,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1357.239,0,0,0,NA,23.21,0,0,0,1.21102474549159,FALSE,1,FALSE,TRUE,1,27,1,-6,FALSE,-6,FALSE,19.7,35.3,0,868,173.490234375,FALSE,FALSE
"13",2008,205,0,1996,20506,1996,6,5,"Iran",1,1,1,12,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1964.83,0,0,0,NA,10.48,0,0,0,1.1665224573576,FALSE,1,FALSE,TRUE,1,27,1,-6,FALSE,-6,FALSE,18.5,35.3,0,868,173.490234375,FALSE,FALSE
"14",2009,205,0,1996,20506,1996,6,5,"Iran",1,1,1,13,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1919.76,0,0,0,NA,14.3,0,0,0,1.17027151099746,FALSE,1,FALSE,TRUE,1,27,1,-7,FALSE,-6,FALSE,17.4,35.3,0,868,173.490234375,FALSE,FALSE
"15",2010,205,0,1996,20506,1996,6,5,"Iran",1,1,1,14,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1650.48,0,0,0,NA,40.68,0,0,0,1.15142759754428,FALSE,1,FALSE,TRUE,1,27,1,-7,FALSE,-6,FALSE,16.5,35.3,0,868,173.490234375,FALSE,FALSE
"16",2011,205,0,1996,20506,1996,6,5,"Iran",1,1,1,15,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1033.35,0,0,0,NA,50,0,0,0,1.11637723428314,FALSE,1,FALSE,TRUE,1,27,1,-7,FALSE,-6,FALSE,15.7,35.3,0,868,173.490234375,FALSE,FALSE
"17",2012,205,0,1996,20506,1996,6,5,"Iran",1,1,1,16,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,988.337,0,0,0,NA,0,0,0,0,1.09370268886071,FALSE,1,FALSE,TRUE,1,27,1,-7,FALSE,-6,FALSE,15,35.3,0,868,173.490234375,FALSE,FALSE
