"","conflict_id","year","incompatibility","intensity_level","peripheral","duration","country","duration2","ep_end","Tonnage_mt_Combined","Tonnage_mt_emergency","Tonnage_mt_development","Value_Combined","Value_emergency","Value_development","commodities_Combined","commodities_emergency","commodities_development","partners_Combined","partners_emergency","partners_development","Value","Tonnage_mt","binary_emergency","n","frac_emergency","sum_tonnage_emergency","instrument_emergency","Value_t1","Tonnage_mt_t1","t1_commodities","sum_tonnage_t1","wheat_binary","n_partners_emergency","n_partners_development","inflation_adjustment","bd_best","lagged_deaths","population","gdp_pc","current_polity","democracy","lootable","Diamonds","Drugs","guarantee","rugged_terrain","forest_cover"
"1",205,1993,1,1,1,0,"Iran",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,29,0,NA,NA,0,0,NA,1814.695,0,0,0,1.73800945953741,110,0,17.9052405561106,1067.307533,-6,FALSE,1,0,1,FALSE,173.490234375,163.297790527344
"2",205,1996,1,1,1,0,"Iran",1,1,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,824.79,0,0,0,NA,469.945,0,0,0,1.60080061626733,27,110,17.9473904395021,1932.804985,-6,FALSE,1,0,1,FALSE,173.490234375,163.297790527344
"3",205,2016,1,1,1,0,"Iran",1,1,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1388.714,0,0,0,NA,0,0,0,0,1.04622187346466,30,27,18.192072488303,5253.424843,-7,FALSE,1,0,1,FALSE,173.490234375,163.297790527344
"4",205,2018,1,1,1,0,"Iran",1,1,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1209.882,0,0,0,NA,0,0,0,0,1,44,30,18.2197910900761,5520.310789,-7,FALSE,1,0,1,FALSE,173.490234375,163.297790527344
"5",209,1991,2,2,0,22,"Philippines",23,0,54612,NA,NA,41122441.9216646,NA,NA,"food",NA,NA,"PVO",NA,NA,41122441.9216646,54.612,NA,29,0.172413793103448,NA,NA,27660835.373317,67,"oilseeds",1581,0,0,0,1.84405569155447,1514,0,17.965838178752,715.7468201,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"6",209,1992,2,1,0,23,"Philippines",24,0,61792,NA,NA,41929596.8278791,NA,NA,"bulgur, peas, csv, nonfat dried milk",NA,NA,"CARE, CRS",NA,NA,41929596.8278791,61.792,NA,29,0.172413793103448,NA,NA,35792445.2099543,97,"soybean meal",1740.15,0,0,0,1.78962226049771,430,1514,17.9902072569049,814.7685392,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"7",209,1993,2,1,0,24,"Philippines",25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,29,0.172413793103448,NA,NA,34760189.1907481,95,"soy meal",1814.695,0,0,0,1.73800945953741,99,430,18.0141235997898,816.4123244,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"8",209,1994,2,1,0,25,"Philippines",26,0,51393,NA,NA,26606913.8468544,NA,NA,"bulgur, peas, wheat corn soya blend",NA,NA,"CARE, CRS",NA,NA,26606913.8468544,51.393,NA,29,0.172413793103448,NA,NA,25410583.5722719,73.9,"soybean meal",1031.2,1,0,0,1.69403890481813,69,99,18.0376744235973,939.9186379,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"9",209,1995,2,1,0,26,"Philippines",27,1,NA,0,46.34,NA,0,25073720.7949425,NA,NA,"bulgur,peas,soybeanmeal,bulgur,csb,soybeanmeal",NA,NA,"CARE,CR5",25073720.7949425,46.34,0,29,0.172413793103448,1075.435,185.419827586207,0,0,NA,500.7,0,0,2,1.64781089357979,36,69,18.0609165761284,1062.133065,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"10",209,1997,2,1,0,0,"Philippines",1,1,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.172413793103448,781.36,134.71724137931,0,0,NA,732.08,0,0,0,1.56423558116597,32,36,18.1063929781376,1127.526549,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"11",209,1999,2,1,0,0,"Philippines",1,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.172413793103448,669.386,115.411379310345,45220415.2076038,139.2,"rice, sbm, feed grain",1908.5,0,0,0,1.50734717358679,93,32,18.1505232419422,1087.378156,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"12",209,2000,2,1,0,1,"Philippines",2,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.172413793103448,901.63,155.453448275862,58330097.275323,151.829,"rice, soybean meal ",354.595,0,0,0,1.45825243188308,140,93,18.1721136739385,1072.809064,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"13",209,2001,2,1,0,2,"Philippines",3,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.172413793103448,646.64,111.489655172414,56732162.8618499,306.2,"corn, peas, rice, soybean meal",646,0,0,0,1.41830407154625,97,140,18.193439721959,990.5638962,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"14",209,2002,2,1,0,3,"Philippines",4,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.172413793103448,895.42,154.38275862069,27920338.1625649,94.51,"rice, soybean meal",445.67,0,0,0,1.39602807635285,280,97,18.2144589339684,1036.159313,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"15",209,2003,2,1,0,4,"Philippines",5,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.172413793103448,1910.9,329.465517241379,54586721.0144928,117.8,"rice",573.47,0,0,0,1.36466802536232,231,280,18.2349771264331,1048.008192,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"16",209,2004,2,1,0,5,"Philippines",6,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.172413793103448,1666.82,287.38275862069,26584207.5080506,58.2,"rice   ",229.3,0,0,0,1.32921037540253,270,231,18.2547506146873,1121.489632,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"17",209,2005,2,1,0,6,"Philippines",7,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.172413793103448,1811.27,312.287931034483,25718.5643564356,65.186,"rice",65.186,0,0,0,1.28592821782178,234,270,18.2736442812977,1244.349041,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"18",209,2006,2,1,0,7,"Philippines",8,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.172413793103448,1426.2,245.896551724138,24.9157563980651,0,"rice",212.35,0,0,0,1.24578781990325,310,234,18.2915815147644,1452.438656,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"19",209,2007,2,1,0,8,"Philippines",9,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.172413793103448,1357.239,234.006724137931,0,0,NA,23.21,0,0,0,1.21102474549159,132,310,18.3086925581743,1744.640313,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"20",209,2008,2,1,0,9,"Philippines",10,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.172413793103448,1964.83,338.763793103448,0,0,NA,10.48,0,0,0,1.1665224573576,184,132,18.3252921760758,1991.231542,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"21",209,2009,2,1,0,10,"Philippines",11,0,NA,1.48,0,NA,2170853.65290029,0,NA,"rice",NA,NA,"WFP",NA,2170853.65290029,1.48,1,29,0.172413793103448,1919.76,330.993103448276,0,0,NA,14.3,0,1,0,1.17027151099746,377,184,18.3417907499824,1905.894711,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"22",209,2010,2,1,0,11,"Philippines",12,0,NA,15.2,0,NA,18143965.7965833,0,NA,"rice, vegetable oil",NA,NA,"WFP",NA,18143965.7965833,15.2,1,29,0.172413793103448,1650.48,284.565517241379,9785983.15152886,7.68,"nonfat dry milk, rice milled",40.68,0,1,0,1.15142759754428,258,377,18.358451873517,2217.474009,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"23",209,2011,2,1,0,12,"Philippines",13,0,NA,7.09,0,NA,8160159.39399261,0,NA,"rice",NA,NA,"WFP
PRRO",NA,8160159.39399261,7.09,1,29,0.172413793103448,1033.35,178.163793103448,15182730.3862507,20,"soybean meal",50,0,1,0,1.11637723428314,204,258,18.3753700130284,2450.733656,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"24",209,2012,2,1,0,13,"Philippines",14,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.172413793103448,988.337,170.402931034483,0,0,NA,0,0,0,0,1.09370268886071,182,204,18.3924112815549,2694.305473,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"25",209,2013,2,1,0,14,"Philippines",15,0,NA,2.1,0,NA,2659828.42698828,0,NA,"rice",NA,NA,"WFP
PRRO",NA,2659828.42698828,2.1,1,29,0.172413793103448,856.87,147.736206896552,0,0,NA,0,0,1,0,1.07790096733193,165,182,18.4093321111305,2871.430902,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"26",209,2014,2,1,0,15,"Philippines",16,0,NA,6.075,0,NA,9188449.93371072,0,NA,"a28 rice bars,
a29 wheat bars,
rice,rice",NA,NA,"WFP
EMOP,WFP
PRRO",NA,9188449.93371072,6.075,1,29,0.172413793103448,821.2529,141.595327586207,0,0,NA,0,1,2,0,1.06076470298319,190,165,18.4257990032876,2959.648452,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"27",209,2015,2,1,0,16,"Philippines",17,0,NA,0,0,NA,0,0,NA,"",NA,NA,"WFP PRRO",NA,0,0,0,29,0.172413793103448,711.16,122.613793103448,0,0,NA,0,0,1,0,1.05948127668537,168,190,18.4415926773096,3001.040371,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"28",209,2016,2,1,0,17,"Philippines",18,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.172413793103448,1388.714,239.433448275862,0,0,NA,0,0,0,0,1.04622187346466,92,168,18.4566647534734,3073.653615,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"29",209,2017,2,1,0,18,"Philippines",19,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.172413793103448,1129.763,194.786724137931,0,0,NA,0,0,0,0,1.02438761536819,174,92,18.471119681481,3123.234229,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"30",209,2018,2,1,0,19,"Philippines",20,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.172413793103448,1209.882,208.600344827586,0,0,NA,0,0,0,0,1,144,174,18.4850810242851,3252.092324,8,TRUE,0,0,0,FALSE,225.361389160156,34.9619522094727
"31",209,2019,2,1,0,20,"Philippines",21,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.172413793103448,1315.526,226.814827586207,0,0,NA,0,0,0,0,0.982211439103084,138,144,18.4987209710763,3485.084218,NA,NA,0,0,0,FALSE,225.361389160156,34.9619522094727
"32",221,1991,1,1,1,42,"Myanmar (Burma)",43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,29,0.137931034482759,NA,NA,0,0,NA,1581,0,0,0,1.84405569155447,552,0,17.5505623957052,NA,-5,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"33",221,1992,1,2,1,43,"Myanmar (Burma)",44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,29,0.137931034482759,NA,NA,0,0,NA,1740.15,0,0,0,1.78962226049771,1163,552,17.5626986363946,NA,-5,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"34",221,1994,1,1,1,0,"Myanmar (Burma)",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,29,0.137931034482759,NA,NA,0,0,NA,1031.2,0,0,0,1.69403890481813,25,1163,17.5855880828319,NA,-5,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"35",221,1995,1,1,1,1,"Myanmar (Burma)",2,1,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,1075.435,148.335862068965,0,0,NA,500.7,0,0,0,1.64781089357979,110,25,17.5974612782941,NA,-5,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"36",221,1997,1,1,1,0,"Myanmar (Burma)",1,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,781.36,107.773793103448,0,0,NA,732.08,0,0,0,1.56423558116597,41,110,17.6227780424661,NA,-5,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"37",221,1998,1,1,1,1,"Myanmar (Burma)",2,1,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,901.75,124.379310344828,0,0,NA,1015.77,0,0,0,1.54040539849701,36,41,17.6356642968502,NA,-5,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"38",221,2000,1,1,1,0,"Myanmar (Burma)",1,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,901.63,124.36275862069,0,0,NA,354.595,0,0,0,1.45825243188308,68,36,17.659676496635,190.6062319,-5,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"39",221,2000,1,1,1,0,"Myanmar (Burma)",1,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,901.63,124.36275862069,0,0,NA,354.595,0,0,0,1.45825243188308,46,68,17.659676496635,190.6062319,-5,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"40",221,2001,1,1,1,1,"Myanmar (Burma)",2,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,646.64,89.191724137931,0,0,NA,646,0,0,0,1.41830407154625,36,46,17.6704365123756,137.1683267,-5,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"41",221,2002,1,1,1,2,"Myanmar (Burma)",3,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,895.42,123.506206896552,0,0,NA,445.67,0,0,0,1.39602807635285,110,36,17.6804874684497,142.0822652,-5,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"42",221,2003,1,1,1,3,"Myanmar (Burma)",4,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,1910.9,263.572413793103,0,0,NA,573.47,0,0,0,1.36466802536232,38,110,17.6898088922101,217.3904189,-5,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"43",221,2004,1,1,1,4,"Myanmar (Burma)",5,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,1666.82,229.906206896552,0,0,NA,229.3,0,0,0,1.32921037540253,27,38,17.6984030398265,217.5942826,-6,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"44",221,2005,1,1,1,5,"Myanmar (Burma)",6,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,1811.27,249.830344827586,0,0,NA,65.186,0,0,0,1.28592821782178,42,27,17.7063083743349,244.8823499,-8,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"45",221,2006,1,1,1,6,"Myanmar (Burma)",7,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,1426.2,196.71724137931,0,0,NA,212.35,0,0,0,1.24578781990325,104,42,17.7134559369606,294.1631813,-8,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"46",221,2007,1,1,1,7,"Myanmar (Burma)",8,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,1357.239,187.205379310345,0,0,NA,23.21,0,0,0,1.21102474549159,104,104,17.7199342617031,406.7286892,-8,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"47",221,2008,1,1,1,8,"Myanmar (Burma)",9,0,NA,23.64,0,NA,32736119.7208263,0,NA,"corn soy blend,
garbanzo beans, rice
(bagged), vegetable oil",NA,NA,"WFP",NA,32736119.7208263,23.64,1,29,0.137931034482759,1964.83,271.011034482759,0,0,NA,10.48,0,1,0,1.1665224573576,33,104,17.726125412413,638.1490599,-6,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"48",221,2009,1,1,1,9,"Myanmar (Burma)",10,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,1919.76,264.794482758621,0,0,NA,14.3,0,0,0,1.17027151099746,58,33,17.7325284083594,734.4460067,-6,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"49",221,2010,1,1,1,10,"Myanmar (Burma)",11,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,1650.48,227.652413793103,0,0,NA,40.68,0,0,0,1.15142759754428,63,58,17.7394783001349,979.05163,-6,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"50",221,2010,1,1,1,10,"Myanmar (Burma)",11,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,1650.48,227.652413793103,0,0,NA,40.68,0,0,0,1.15142759754428,58,63,17.7394783001349,979.05163,-6,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"51",221,2011,1,1,1,11,"Myanmar (Burma)",12,1,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,1033.35,142.531034482759,0,0,NA,50,0,0,0,1.11637723428314,219,58,17.7471521541471,1176.242453,-3,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"52",221,2011,1,1,1,11,"Myanmar (Burma)",12,1,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,1033.35,142.531034482759,0,0,NA,50,0,0,0,1.11637723428314,115,219,17.7471521541471,1176.242453,-3,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"53",221,2013,1,1,1,0,"Myanmar (Burma)",1,1,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,856.87,118.188965517241,0,0,NA,0,0,0,0,1.07790096733193,41,115,17.7639127624965,1162.33144,-3,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"54",222,1991,2,1,0,1,"Myanmar (Burma)",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,29,0.137931034482759,NA,NA,0,0,NA,1581,0,0,0,1.84405569155447,25,0,17.5505623957052,NA,-5,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
