"","Value","Tonnage_mt","Commodities","funding","year","Country","Sponsor","Recipients_1000s"
"1",2e+06,7000,"rice","title i",1991,"Congo - Brazzaville",NA,NA
"2",1.5e+07,101000,"wheat","title i",1991,"Costa Rica",NA,NA
"3",1e+07,30000,"rice","title i",1991,"Côte d’Ivoire",NA,NA
"4",3.5e+07,177000,"wheat, vegetable oil, and tallow","title i",1991,"El Salvador",NA,NA
"5",1.8e+07,142000,"wheat and rice","title i",1991,"Guatemala",NA,NA
"6",7e+06,57000,"wheat","title i",1991,"Guyana",NA,NA
"7",4e+07,271000,"wheat, rice, corn","title i",1991,"Jamaica",NA,NA
"8",3.5e+07,203000," wheat and vegetable oil ","title i",1991,"Morocco",NA,NA
"9",32500000,143000," wheat, rice, vegetable oil, soybeans, tallow, and dry edible beans ","title i",1991,"Nicaragua",NA,NA
"10",1.5e+07,28000,"vegetable oil","title i",1991,"Panama",NA,NA
"11",1.5e+07,67000,"oilseeds","title i",1991,"Philippines",NA,NA
"12",5e+06,29000,"wheat and rice","title i",1991,"Sierra Leone",NA,NA
"13",12300000,93000,"wheat","title i",1991,"Sri Lanka",NA,NA
"14",1.5e+07,127000,"wheat and corn","title i",1991,"Tunisia",NA,NA
"15",5e+06,15000,"rice","title i",1991,"Yemen",NA,NA
"16",1.6e+07,91000,"wheat","title i",1991,"Congo - Kinshasa",NA,NA
"17",2e+06,6300,"rice","title i",1992,"Congo - Brazzaville",NA,NA
"18",5e+06,17000,"rice","title i",1992,"Côte d’Ivoire",NA,NA
"19",1e+07,30900,"rice, wheat","title i",1992,"Sierra Leone",NA,NA
"20",4e+07,332750,"corn, wheat, vegetable oil","title i",1992,"Zimbabwe",NA,NA
"21",2e+07,97000,"soybean meal","title i",1992,"Philippines",NA,NA
"22",1.3e+07,75400,"wheat","title i",1992,"Sri Lanka",NA,NA
"23",27500000,82700,"food","title i",1992,"Albania",NA,NA
"24",9300000,66000,"wheat","title i",1992,"Armenia",NA,NA
"25",19900000,145000,"feed grains and oil seeds/meals","title i",1992,"Belarus",NA,NA
"26",1e+07,71500,"wheat","title i",1992,"Estonia",NA,NA
"27",7.5e+07,1e+05,"food","title i",1992,"Georgia",NA,NA
"28",8300000,56000,"wheat","title i",1992,"Kyrgyzstan",NA,NA
"29",1e+07,60000,"wheat","title i",1992,"Latvia",NA,NA
"30",1e+07,43300,"soybean meal","title i",1992,"Lithuania",NA,NA
"31",6900000,71700,"feed grains  ","title i",1992,"Moldova",NA,NA
"32",1e+07,18000,"food","title i",1992,"Romania",NA,NA
